OLT_ALIAS,value
EMPTY,5
OLT_C300_ANDAHUAYLAS_10,2513
OLT_C300_AYACUCHO_44_F1,10621
OLT_C300_AYACUCHO_44_F2,710
OLT_C300_AZANGARO_6,1184
OLT_C300_BAGUA_CHICA_9,1190
OLT_C300_BAGUA_GRANDE_5,1003
OLT_C300_CAJABAMBA_5,1697
OLT_C300_CAMANA_13,2409
OLT_C300_CASMA_5,1369
OLT_C300_CERRO_DE_PASCO_10,4684
OLT_C300_CHACHAPOYAS_6,1329
OLT_C300_CHANCAY_10,1577
OLT_C300_CHEPEN_14,2831
OLT_C300_DESAGUADERO_4,592
OLT_C300_GUADALUPE_5,1769
OLT_C300_HUAMACHUCO_07,1763
OLT_C300_HUANTA_8,1207
OLT_C300_HUARMEY_10,1497
OLT_C300_JULIACA_54_F1,9518
OLT_C300_JULIACA_54_F2,4163
OLT_C300_JULI_4,384
OLT_C300_LA_MERCED_6,2630
OLT_C300_MAZAMARI_2,450
OLT_C300_MOQUEGUA_15,4300
OLT_C300_MOYOBAMBA_14,3123
OLT_C300_NAZCA_12,1885
OLT_C300_OLMOS_5,1408
OLT_C300_PACASMAYO_15,2539
OLT_C300_PISCO_24,3824
OLT_C300_PUERTO_MALDONADO_22,4740
OLT_C300_SATIPO_7,1459
OLT_C300_SICUANI_9,2930
OLT_C300_SURQUILLO_LAB,311
OLT_C300_TAMBO_GRANDE_5,1426
OLT_C300_TARAPOTO_46,5696
OLT_C300_TARMA_12,3754
OLT_C300_TOCACHE_2,1563
OLT_C300_VIRU_6,1580
OLT_C300_YURIMAGUAS_8,3370
OLT_C600_BARRANCO_25_F1,2593
OLT_C600_CHICLAYO_81,293
OLT_C600_CHORRILLOS_35_F1,577
OLT_C600_LINCE_32,228
OLT_C600_MAGDALENA_52_F1,3551
OLT_C600_PANDO-2,458
OLT_C600_SAN_JOSE_56,280
OLT_C600_SURQUILLO_PRO,56
OLT_C600_WASHINGTON_60,481
OLT_C610_ACOBAMBA_2,14
OLT_C610_ACOMAYO_1,7
OLT_C610_AGUAYTIA_7,14
OLT_C610_AIJA_3,5
OLT_C610_AMBO_2,4
OLT_C610_ANTABAMBA_2,14
OLT_C610_AYABACA_3,6
OLT_C610_BOLIVAR,7
OLT_C610_CABANA_2,1
OLT_C610_CAJATAMBO_1,8
OLT_C610_CANDARAVE_1,11
OLT_C610_CANGALLO_2,15
OLT_C610_CASCAS_1,7
OLT_C610_CASTROVIRREYNA_2,1
OLT_C610_CELENDIN_6,1
OLT_C610_CHACAS_1,8
OLT_C610_CHALHUANCA_2,4
OLT_C610_CHAVINILLO_1,10
OLT_C610_CHINCHEROS_2,11
OLT_C610_CHIQUIAN_4,2
OLT_C610_CHIVAY_3,10
OLT_C610_CHUQUIBAMBA_4,1
OLT_C610_CHUQUIBAMBILLA_2,7
OLT_C610_CHURCAMPA_3,3
OLT_C610_CONTUMAZA_1,17
OLT_C610_CORONGO_2,4
OLT_C610_COTAHUASI_2,7
OLT_C610_HUACAYBAMBA_1,9
OLT_C610_HUACRACHUCO_1,2
OLT_C610_HUANCABAMBA_4,4
OLT_C610_HUANCANE_5,2
OLT_C610_HUANCA_SANCOS_2,2
OLT_C610_HUARI_4,5
OLT_C610_HUAYTARA_2,4
OLT_C610_INAPARI_1,2
OLT_C610_IZCUCHACA_4,2
OLT_C610_JESUS_HUANUCO_1,8
OLT_C610_JULCAN_1,7
OLT_C610_JUMBILLA_1,5
OLT_C610_JUNIN_7,5
OLT_C610_LAMPA_2,7
OLT_C610_LAMUD_1,5
OLT_C610_LA_JOLLA_AS_1_F1,2
OLT_C610_LA_UNION_HUANUCO_2,4
OLT_C610_LIRCAY_6,11
OLT_C610_LLAMELLIN_1,8
OLT_C610_LLATA_2,8
OLT_C610_MACUSANI_2,15
OLT_C610_MOHO_2,9
OLT_C610_OCROS_1,7
OLT_C610_OMATE_1,5
OLT_C610_OYON_3,11
OLT_C610_PAMPAS_4,1
OLT_C610_PANAO_1,10
OLT_C610_PARURO_1,6
OLT_C610_PAUCARTAMBO_2,8
OLT_C610_PAUSA_2,11
OLT_C610_PICOTA_1,5
OLT_C610_PISCOBAMBA_1,11
OLT_C610_PUERTO_INCA_2,10
OLT_C610_PUQUIO_2,2
OLT_C610_PUTINA_2,11
OLT_C610_RODRIGUEZ_DE_MENDOZA_5,7
OLT_C610_SANDIA_2,10
OLT_C610_SANTIAGO_DE_CHUCO_1,11
OLT_C610_SANTO_TOMAS_1,9
OLT_C610_SAN_IGNACIO_6,2
OLT_C610_SAN_JOSE_DE_SISA_1,5
OLT_C610_SAN_LUIS_ANCASH_1,11
OLT_C610_SAN_MIGUEL_CAJ_2,8
OLT_C610_SAN_PABLO_4,11
OLT_C610_SIHUAS_4,17
OLT_C610_SUCCHUBAMBA_4,3
OLT_C610_TAMBOBAMBA_2,15
OLT_C610_TARATA_1,1
OLT_C610_TAYABAMBA_1,8
OLT_C610_URCOS_4,5
OLT_C610_VILCAS_HUAMAN_2,17
OLT_C610_YANAHUANCA_2,11
OLT_C610_YANAOCA_1,5
OLT_C610_YAURI_4,6
OLT_C610_YAUYOS_1,11
OLT_MA5600T_CAJAMARCA_62,11080
OLT_MA5600T_CHINCHAALTA_40,8248
OLT_MA5600T_PUCALLPA_52,8306
OLT_MA5600T_PUNO_43,3539
OLT_MA5800_ABANCAY_25,5392
OLT_MA5800_AREQUIPA_44,735
OLT_MA5800_AYAVIRI_7,973
OLT_MA5800_BAMBAMARCA_4,505
OLT_MA5800_BANOS_DEL_INCA_5,1269
OLT_MA5800_BARRANCA_16,4277
OLT_MA5800_BARRANCO_24,1496
OLT_MA5800_CAJAMARCA_62_F2,3431
OLT_MA5800_CALLAO_52,612
OLT_MA5800_CANETE_10,3316
OLT_MA5800_CASA_GRANDE_7,1863
OLT_MA5800_CAYMA_19,45
OLT_MA5800_CEDROS_DE_VILLA_2,821
OLT_MA5800_CHACARILLA_12,978
OLT_MA5800_CHORRILLOS_33,796
OLT_MA5800_CHORRILLOS_SG_34_F1,3519
OLT_MA5800_CHOTA_6,1034
OLT_MA5800_CHULUCANAS_8,1477
OLT_MA5800_CIUDAD_NUEVA_12,2759
OLT_MA5800_CONO_SUR_14,3683
OLT_MA5800_CUSCO_66,1003
OLT_MA5800_CUTERVO_8,1912
OLT_MA5800_EL_CERCADO_19,57
OLT_MA5800_EL_PINO_2,2
OLT_MA5800_EL_RETABLO_21,713
OLT_MA5800_HIGUERETA_39,5468
OLT_MA5800_HIGUERETA_41_F1,5288
OLT_MA5800_HIGUERETA_41_F2,213
OLT_MA5800_HIGUERETA_CQ_40_F1,4976
OLT_MA5800_HIGUERETA_CQ_40_F2,7957
OLT_MA5800_HUACHO_45,11815
OLT_MA5800_HUANUCO_50,8369
OLT_MA5800_HUARAL_30,4127
OLT_MA5800_HUARAZ_40,11359
OLT_MA5800_HUAURA_9,2171
OLT_MA5800_ILAVE_4,1117
OLT_MA5800_ILO_18,2961
OLT_MA5800_IMPERIAL_8,3378
OLT_MA5800_JAEN_17,4737
OLT_MA5800_LAS_CASUARINAS_7,387
OLT_MA5800_LAS_FLORES_3,354
OLT_MA5800_LAS_GARDENIAS_13,469
OLT_MA5800_LAS_LAGUNAS_17,229
OLT_MA5800_LAS_LAGUNAS_18_F1,4401
OLT_MA5800_LA_MOLINA_21,482
OLT_MA5800_LA_MOLINA_22_F1,7387
OLT_MA5800_LA_VICTORIA_42,6
OLT_MA5800_LINCE_31,3264
OLT_MA5800_LOS_FICUS_23,651
OLT_MA5800_LOS_OLIVOS_47,141
OLT_MA5800_LOS_ORGANOS_3,720
OLT_MA5800_LURIN_11,2
OLT_MA5800_MACARENA_4,575
OLT_MA5800_MAGDALENA_49,4666
OLT_MA5800_MAGDALENA_50_F1,7826
OLT_MA5800_MAGDALENA_51,5745
OLT_MA5800_MANCORA_8,1010
OLT_MA5800_MIRAFLORES_66,1940
OLT_MA5800_MIRAFLORES_67,1406
OLT_MA5800_MIRAFLORES_68_F1,999
OLT_MA5800_MONTERRICO_53,3071
OLT_MA5800_MONTERRICO_55_F1,1144
OLT_MA5800_MONTERRICO_LC_54_F1,5972
OLT_MA5800_NUEVA_CAJAMARCA_4,1160
OLT_MA5800_PAIJAN_5,1826
OLT_MA5800_PAITA_12,2010
OLT_MA5800_PAMPAINALAMBRICA_13,2241
OLT_MA5800_PARAMONGA_7,3434
OLT_MA5800_PATIVILCA_5,539
OLT_MA5800_PIURA_59,223
OLT_MA5800_PUCALLPA_52_F2,7197
OLT_MA5800_PUENTE_PIEDRA_3,196
OLT_MA5800_PUNO_47,3954
OLT_MA5800_QUERECOTILLO_4,1194
OLT_MA5800_QUILLABAMBA_7,2001
OLT_MA5800_RIMAC_3,836
OLT_MA5800_RIOJA_5,2355
OLT_MA5800_SAGITARIO_10,1493
OLT_MA5800_SANISIDRO_43,2564
OLT_MA5800_SANTA_CLARA_25,78
OLT_MA5800_SANTA_PATRICIA_2,5849
OLT_MA5800_SAN_BORJA_38,2646
OLT_MA5800_SAN_BORJA_39_F1,8632
OLT_MA5800_SAN_BORJA_39_F2,4899
OLT_MA5800_SAN_BORJA_40,3548
OLT_MA5800_SAN_BORJA_41_F1,464
OLT_MA5800_SAN_ISIDRO_44_F1,4751
OLT_MA5800_SAN_ISIDRO_44_F2,4442
OLT_MA5800_SAN_ISIDRO_46,4530
OLT_MA5800_SAN_ISIDRO_47_F1,2916
OLT_MA5800_SAN_ISIDRO_47_F2,59
OLT_MA5800_SAN_JOSE_55,2961
OLT_MA5800_SAN_JUAN_51,39
OLT_MA5800_SAN_MIGUEL_17,1091
OLT_MA5800_SAN_ROQUE_20,570
OLT_MA5800_SECHURA_4,1231
OLT_MA5800_SULLANA_48,9986
OLT_MA5800_TACNA_48,8107
OLT_MA5800_TALARA_23,5806
OLT_MA5800_TARAPOTO_46,6185
OLT_MA5800_TINGO_MARIA_12,4596
OLT_MA5800_TRUJILLO_60,917
OLT_MA5800_TUMBES_30,5560
OLT_MA5800_URUBAMBA_6,1046
OLT_MA5800_VITARTE_44,49
OLT_MA5800_WASHINGTON_58,3102
OLT_MA5800_WASHINGTON_59_F1,3966
OLT_MA5800_X17_MAQUETA,503
OLT_MA5800_YARINACOCHA_8,2672
OLT_MA5800_YUNGUYO_4,999
OLT_MA5800_ZARUMILLA_9,2096
P_OLT_C600_BARRANCO_1,1025
P_OLT_C600_CALLAO_1,2200
P_OLT_C600_CANTO_GRANDE_1,639
P_OLT_C600_CEDROS_DE_VILLA_1,5947
P_OLT_C600_CEDROS_DE_VILLA_2,401
